views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate,community_label_leiden
1202088,0,2766,2011-03-17,2018-10-12,80598,0,DE,0,0
229,0,1667,2014-03-18,2018-10-10,36397,0,PT,0,13
14120,0,1345,2015-02-05,2018-10-12,69272,0,OTHER,1,38
13100,1,1909,2013-07-13,2018-10-04,580,0,RU,0,3
4893,0,388,2017-09-18,2018-10-11,81758,0,IT,1,38
2211,1,1616,2014-05-10,2018-10-12,101146,0,DE,0,0
17132,0,2134,2012-11-29,2018-10-03,135831,0,RU,1,3
47624,0,1755,2013-12-22,2018-10-12,165731,0,FR,1,1
5939,1,3416,2009-06-01,2018-10-08,84547,0,FR,0,1
1819,0,2073,2013-02-06,2018-10-11,145489,0,EN,0,13
830,0,329,2017-11-04,2018-09-29,94327,0,ES,1,2
19777,0,2304,2012-06-21,2018-10-12,40841,0,IT,1,38
250,0,1023,2015-12-23,2018-10-11,28051,0,FR,0,1
11179,1,575,2017-03-10,2018-10-06,110058,0,DE,1,0
143702,0,638,2017-01-12,2018-10-12,94306,0,KO,0,36
3190,0,655,2016-12-23,2018-10-09,79998,0,RU,0,3
120709,1,1514,2014-08-20,2018-10-12,153080,0,DE,1,0
4638,0,1485,2014-09-18,2018-10-12,153826,0,FR,0,1
17994,0,1009,2016-01-03,2018-10-08,71762,0,RU,1,3
531,0,1930,2012-06-24,2017-10-06,48193,1,FR,0,1
17101,0,1004,2016-01-12,2018-10-12,54061,0,RU,1,3
4010,0,1352,2015-01-28,2018-10-11,3243,0,EN,0,1
2218,0,697,2016-11-14,2018-10-12,106376,0,RU,0,3
1377,0,1681,2014-01-12,2018-08-20,122847,0,NL,0,91
6997,1,2610,2011-08-20,2018-10-12,98776,0,FR,1,1
1655,1,1174,2015-07-26,2018-10-12,166318,0,DE,0,0
11416,1,1516,2014-08-16,2018-10-10,161191,0,EN,1,53
7515,0,752,2016-09-20,2018-10-12,147503,0,ES,1,2
36780,1,970,2016-02-15,2018-10-12,148056,0,RU,1,3
27496,0,549,2017-04-10,2018-10-11,152257,0,PT,1,13
6032,1,1478,2014-09-24,2018-10-11,50839,0,DE,1,0
5096,1,936,2016-03-20,2018-10-12,11441,0,DE,1,0
1426858,0,3593,2008-12-10,2018-10-12,59889,0,RU,0,3
37172,0,368,2017-10-09,2018-10-12,21128,0,EN,1,6
2590,1,706,2016-11-05,2018-10-12,135203,0,FR,1,1
1185,0,948,2016-03-02,2018-10-06,63754,0,FR,0,1
283092,1,1630,2014-04-26,2018-10-12,114954,0,DE,0,0
1513,0,518,2017-05-05,2018-10-05,122753,0,RU,0,3
5842,0,1177,2015-07-05,2018-09-24,19377,0,FR,0,1
6181,0,1210,2015-06-19,2018-10-11,68449,0,EN,0,114
13222,1,3252,2009-11-11,2018-10-07,97268,0,ZH,1,6
8678,0,613,2017-01-22,2018-09-27,85165,0,RU,0,3
11578,0,1226,2015-06-04,2018-10-12,119905,0,EN,0,3
305,0,873,2016-05-16,2018-10-06,57306,0,ES,0,2
8733,0,1273,2015-04-18,2018-10-12,102991,0,FR,1,1
3839,0,701,2016-11-10,2018-10-12,52497,0,KO,0,36
164317,1,775,2016-08-28,2018-10-12,146342,0,DE,0,0
284,0,1022,2015-12-23,2018-10-10,156002,0,PT,0,13
195901,1,2708,2011-05-14,2018-10-12,81600,0,ZH,1,6
204550,0,3169,2010-02-06,2018-10-11,65573,0,ZH,0,6
70150,0,1241,2015-05-20,2018-10-12,102066,0,DE,0,0
230077,1,373,2017-10-04,2018-10-12,65724,0,RU,0,3
194483,1,1638,2014-04-18,2018-10-12,118709,0,DE,0,0
1200,1,2079,2013-01-29,2018-10-09,57042,0,ES,0,2
29533,0,2837,2010-12-18,2018-09-24,55123,0,ZH,0,6
6379,0,1237,2015-05-24,2018-10-12,14688,0,IT,1,38
13261,1,2430,2012-02-16,2018-10-12,132563,0,FR,1,1
6154,1,1220,2015-06-07,2018-10-09,144221,0,RU,0,3
1420,0,1861,2013-07-15,2018-08-19,56707,0,FR,0,1
31636,0,1320,2015-02-05,2018-09-17,150479,0,FR,0,1
1258,1,855,2016-06-07,2018-10-10,52249,0,FR,0,1
73654,0,1207,2015-06-23,2018-10-12,68978,0,PT,0,13
4400,0,2130,2012-12-10,2018-10-10,30247,0,TH,1,86
94440,1,1808,2013-10-27,2018-10-09,61934,0,DE,1,0
298,0,1824,2013-09-19,2018-09-17,39500,0,ES,0,2
3649,0,2065,2013-02-01,2018-09-28,147051,0,DE,0,0
2013,1,2160,2012-11-12,2018-10-12,53441,0,DE,0,0
4166,0,415,2017-08-23,2018-10-12,59962,0,KO,1,36
7013385,0,3698,2008-08-27,2018-10-12,81273,0,TR,0,80
44294,0,559,2017-04-01,2018-10-12,139235,0,CS,1,95
3786,1,881,2016-05-14,2018-10-12,88640,0,EN,1,59
54712,1,1434,2014-11-08,2018-10-12,50684,0,DE,1,0
29347,0,783,2016-08-20,2018-10-12,160335,0,JA,1,6
1403,1,850,2016-05-13,2018-09-10,58663,0,DE,0,0
6693,1,1711,2014-02-04,2018-10-12,76423,0,NO,0,53
28317,1,2080,2013-01-30,2018-10-11,64883,0,RU,0,3
163525,0,1616,2014-05-10,2018-10-12,108583,0,RU,0,3
121237,1,1493,2014-09-10,2018-10-12,59254,0,PT,0,13
8340,0,1131,2015-09-07,2018-10-12,124552,0,JA,0,44
33063,0,1883,2013-08-16,2018-10-12,61787,0,ZH,1,6
46039,1,1296,2015-03-26,2018-10-12,99651,0,CS,1,95
283,0,2082,2013-01-29,2018-10-12,104398,0,FR,0,1
765,0,1508,2014-08-03,2018-09-19,130619,0,RU,0,3
1123,0,1633,2014-04-11,2018-09-30,62163,0,ES,0,2
682080,0,2178,2012-10-25,2018-10-12,10018,0,CS,0,95
341,1,254,2018-01-11,2018-09-22,93233,0,EN,1,108
13692,1,583,2017-03-08,2018-10-12,110561,0,DE,1,0
3240,0,2579,2011-09-20,2018-10-12,136913,0,FR,1,1
1642544,0,1228,2015-06-02,2018-10-12,48923,0,PT,0,13
3359,1,1608,2014-05-18,2018-10-12,21404,0,FR,1,1
10782,1,2615,2011-08-15,2018-10-12,164562,0,FR,1,1
1716402,0,1807,2013-10-31,2018-10-12,149297,0,FR,0,1
5194,1,1190,2015-07-06,2018-10-08,60157,0,IT,0,38
153661,1,496,2017-06-03,2018-10-12,28134,0,FR,0,1
11124,0,396,2017-09-11,2018-10-12,107151,0,TR,1,80
36281,1,1749,2013-12-26,2018-10-10,96388,0,DA,0,108
17976,1,1747,2013-12-29,2018-10-11,74793,0,FR,0,1
10750,1,1804,2013-10-29,2018-10-07,125215,0,DE,0,44
20037,1,1397,2014-12-15,2018-10-12,65577,0,ES,1,2
9097,1,773,2016-08-30,2018-10-12,36232,0,RU,0,3
22464,0,1024,2015-12-23,2018-10-12,151659,0,TH,1,86
15976,1,1498,2014-09-05,2018-10-12,127854,0,ZH,1,6
3242,0,1360,2015-01-21,2018-10-12,114639,0,RU,0,3
1856,1,1145,2015-08-20,2018-10-08,47391,0,FR,0,1
9090,1,1126,2015-09-04,2018-10-04,26951,0,FR,1,1
16764,1,287,2017-12-27,2018-10-10,135599,0,FR,1,1
25457,0,1593,2014-06-01,2018-10-11,81710,0,DE,1,0
894325,0,714,2016-10-28,2018-10-12,162289,0,KO,0,36
215,0,1543,2014-07-20,2018-10-10,41515,0,FI,0,93
1214273,0,1180,2015-07-20,2018-10-12,154629,0,RU,0,3
4707,1,1309,2015-03-13,2018-10-12,25364,0,DE,0,0
1210,0,1655,2014-04-01,2018-10-12,97403,0,ES,1,2
502,0,1579,2014-06-09,2018-10-05,130095,0,DE,0,0
451,0,1230,2015-05-09,2018-09-20,53760,0,PT,0,13
2929,1,2386,2012-03-17,2018-09-28,22159,0,DE,0,0
1818,1,822,2016-07-11,2018-10-11,99330,0,ES,1,2
11630,1,1678,2014-02-28,2018-10-03,128420,0,FR,1,1
6449,0,2115,2012-12-22,2018-10-07,157542,0,EN,0,6
2259,1,926,2016-03-30,2018-10-12,47955,0,EN,1,95
54711,1,1330,2015-02-20,2018-10-12,33764,0,ES,0,2
1544,0,2355,2012-04-23,2018-10-04,135144,0,ZH,0,6
9011,0,1851,2013-09-05,2018-09-30,71267,0,DE,0,0
1029,0,962,2016-01-29,2018-09-17,111558,0,DE,0,0
1207,0,1785,2013-11-17,2018-10-07,164635,0,EN,0,1
18148,0,2544,2011-10-25,2018-10-12,157786,0,FR,1,1
12913,0,1720,2014-01-18,2018-10-04,21406,0,EN,0,95
7518,0,1234,2015-05-27,2018-10-12,85106,0,RU,1,3
1190141,0,1968,2013-05-23,2018-10-12,47797,0,RU,0,3
19445384,0,2475,2012-01-02,2018-10-12,167048,0,CS,0,95
2180,0,1748,2013-11-14,2018-08-28,35816,0,DE,0,0
1360732,1,1531,2014-08-03,2018-10-12,115081,0,RU,0,3
7464,1,1477,2014-09-24,2018-10-10,98041,0,DE,0,0
822,0,1379,2014-12-14,2018-09-23,111962,0,EN,0,91
16954,0,1197,2015-07-03,2018-10-12,45961,0,CS,0,95
6192,0,873,2016-05-22,2018-10-12,40122,0,RU,0,3
5484,1,617,2017-02-01,2018-10-11,59766,0,DE,1,0
174993,0,1782,2013-11-17,2018-10-04,153920,0,PL,0,59
7681,0,749,2016-09-23,2018-10-12,87026,0,PT,1,13
3165,0,242,2018-02-12,2018-10-12,162418,0,RU,0,0
93358,0,2379,2012-04-07,2018-10-12,154876,0,DA,1,108
2805,0,1353,2015-01-19,2018-10-03,89318,0,FR,1,1
29272,0,1151,2015-08-18,2018-10-12,85585,0,RU,1,3
1615,1,849,2016-06-15,2018-10-12,134282,0,DE,1,0
19647,0,2335,2012-05-20,2018-10-11,46177,0,DE,0,0
61256,1,1416,2014-11-26,2018-10-12,136491,0,PT,1,13
18615,1,2070,2013-02-09,2018-10-11,110234,0,DE,0,0
25060,0,598,2017-02-18,2018-10-09,18919,0,PT,1,13
26671,1,1789,2013-11-13,2018-10-07,139310,0,FR,1,1
2682,0,1183,2015-07-11,2018-10-06,56238,0,RU,0,3
13672,1,2140,2012-12-02,2018-10-12,98885,0,DE,1,0
33665,0,1682,2014-03-03,2018-10-10,162924,0,EN,1,0
589,1,1847,2013-08-21,2018-09-11,146087,0,DE,0,0
13921,0,2270,2012-07-25,2018-10-12,86955,0,JA,1,44
18405,0,401,2017-09-03,2018-10-09,14374,0,FR,1,1
344,0,995,2016-01-18,2018-10-09,8155,0,JA,0,44
3677,1,2962,2010-08-16,2018-09-25,63728,0,ZH,0,6
10342,0,2152,2012-08-28,2018-07-20,111768,0,RU,0,3
1790,0,1338,2015-02-06,2018-10-06,36972,0,ES,1,2
23187,0,1862,2013-09-06,2018-10-12,106225,0,PT,1,13
15549,0,2413,2012-03-04,2018-10-12,62349,0,FR,0,1
3595,1,1003,2016-01-12,2018-10-11,94669,0,DE,1,0
9020,1,1290,2015-03-31,2018-10-11,79131,0,ES,1,2
3271,0,2028,2013-02-20,2018-09-10,17946,0,KO,0,36
7411,1,1770,2013-12-06,2018-10-11,150367,0,FR,0,1
14724,1,2454,2012-01-23,2018-10-12,68503,0,CS,1,95
9558,1,917,2016-04-08,2018-10-12,121507,0,DE,0,0
20313,0,704,2016-11-06,2018-10-11,2830,0,KO,1,36
32600,0,1526,2014-08-08,2018-10-12,131008,0,TR,1,80
2182,0,2230,2012-08-09,2018-09-17,7878,0,ZH,0,6
15508,0,2489,2011-12-17,2018-10-10,67388,0,EN,0,1
9802,1,1443,2014-10-30,2018-10-12,106902,0,ES,1,2
11465,0,1455,2014-10-18,2018-10-12,36364,0,EN,0,0
1275197,0,984,2016-02-01,2018-10-12,159256,0,FR,0,1
154462,0,1769,2013-12-08,2018-10-12,37201,0,EN,0,3
6016,1,772,2016-08-25,2018-10-06,109316,0,DE,1,0
4193,1,1213,2015-06-17,2018-10-12,102028,0,EN,0,59
3485,1,1693,2014-02-21,2018-10-11,139486,0,IT,1,38
3113,1,693,2016-11-18,2018-10-12,57721,0,FR,1,1
4562,0,1751,2013-12-25,2018-10-11,72651,0,FR,0,1
912,0,434,2017-08-04,2018-10-12,160461,0,KO,0,36
18179,0,1645,2014-04-11,2018-10-12,44589,0,JA,1,44
1715130,0,2373,2012-04-13,2018-10-12,77373,0,ZH,0,6
93039,0,716,2016-10-26,2018-10-12,136681,0,KO,0,36
11467,0,1719,2013-12-26,2018-09-10,22675,0,FR,0,1
385,0,382,2017-09-24,2018-10-11,10343,0,PT,0,13
17962557,0,2153,2012-11-19,2018-10-12,92288,0,PT,0,13
7757,1,276,2018-01-09,2018-10-12,123964,0,ES,1,2
275,0,596,2017-02-18,2018-10-07,113203,0,FR,0,1
2869,1,562,2017-03-29,2018-10-12,58561,0,FR,1,1
5427,1,923,2016-04-02,2018-10-12,41692,0,DE,1,0
4632,0,931,2016-03-25,2018-10-12,44193,0,ES,1,2
3087,0,2262,2012-05-31,2018-08-10,105402,0,OTHER,0,95
3221228,0,2021,2013-03-31,2018-10-12,16271,0,EN,0,53
9481,0,972,2016-02-13,2018-10-12,142258,0,FR,1,1
1180,0,229,2018-02-23,2018-10-10,23020,0,ES,0,2
7621,1,1026,2015-12-21,2018-10-12,103171,0,PT,1,13
13801,1,2081,2013-01-25,2018-10-07,21374,0,ES,0,2
15574,0,1106,2015-10-02,2018-10-12,60444,0,CS,1,95
24715,1,1361,2015-01-20,2018-10-12,134278,0,ES,1,2
388,0,224,2018-01-24,2018-09-05,34194,0,IT,0,38
5742,0,1519,2014-08-14,2018-10-11,30980,0,HU,1,114
2256,1,1472,2014-10-01,2018-10-12,57829,0,FR,1,1
3448,0,2039,2013-02-27,2018-09-28,26587,0,DE,0,0
4674,0,344,2017-11-02,2018-10-12,140765,0,ES,1,2
86831,0,2582,2011-09-16,2018-10-11,1792,0,ES,1,2
3025564,0,1749,2013-12-28,2018-10-12,4676,0,PL,0,59
17709,0,795,2016-08-08,2018-10-12,29111,0,DE,1,0
450,0,692,2016-11-17,2018-10-10,33779,0,KO,0,36
1947,1,1114,2015-09-21,2018-10-09,122302,0,DE,1,0
20316,0,1192,2015-07-08,2018-10-12,159925,0,DE,1,0
11620,0,2603,2011-08-27,2018-10-12,85667,0,HU,0,114
1160,1,1507,2014-08-17,2018-10-02,53801,0,FI,0,93
24291,0,2012,2013-04-07,2018-10-10,150792,0,TR,1,80
4285,1,1038,2015-10-26,2018-08-29,94665,0,FR,0,1
6281,1,1159,2015-08-09,2018-10-11,23343,0,DE,0,0
222762,0,3054,2010-06-02,2018-10-12,126485,0,RU,1,3
2326,1,551,2017-04-09,2018-10-12,113260,0,TH,0,86
1598,1,1817,2013-09-05,2018-08-27,145953,0,OTHER,0,3
2311,1,1204,2015-06-23,2018-10-09,35352,0,DE,0,0
4245,1,1655,2014-04-01,2018-10-12,150843,0,ES,0,2
1931,0,532,2017-04-27,2018-10-11,116188,0,ES,0,2
2765,0,2290,2012-07-02,2018-10-09,40583,0,FR,0,1
2064,0,2372,2012-04-14,2018-10-12,78031,0,FR,0,1
2553,1,1281,2015-04-02,2018-10-04,88738,0,DE,0,0
9524566,0,2478,2011-12-30,2018-10-12,24392,0,FR,0,1
2273,0,537,2017-04-23,2018-10-12,59737,0,ES,1,2
9060,0,1834,2013-09-25,2018-10-03,102436,0,FR,0,1
139892,0,985,2016-01-29,2018-10-10,53751,0,DE,1,0
205676,0,2260,2012-08-04,2018-10-12,75618,0,ES,0,2
3966,1,1265,2015-04-23,2018-10-09,161932,0,EN,1,36
183813,0,2197,2012-10-05,2018-10-11,157237,0,HU,1,114
11197,0,173,2018-04-22,2018-10-12,74668,0,RU,0,3
4183,0,444,2017-07-25,2018-10-12,7440,0,TH,0,86
47946,0,2166,2012-11-05,2018-10-11,47314,0,CS,1,95
5894,1,1421,2014-11-18,2018-10-09,162173,0,PT,1,13
23991,0,1513,2014-08-17,2018-10-08,15466,0,RU,1,3
1404,0,910,2016-04-10,2018-10-07,106714,0,DE,0,0
1574,0,3337,2009-07-21,2018-09-09,86221,0,SV,0,53
19619,0,944,2016-03-12,2018-10-12,147596,0,ES,1,2
1176,0,635,2017-01-14,2018-10-11,138438,0,KO,0,36
2751,1,738,2016-09-28,2018-10-06,8282,0,DE,0,0
5106,0,1778,2013-11-29,2018-10-12,154741,0,RU,0,3
2104,0,607,2017-02-12,2018-10-12,9153,0,PT,0,13
92530,0,1933,2013-06-27,2018-10-12,69342,0,PT,1,13
1071,0,249,2018-02-05,2018-10-12,131843,0,HU,0,114
47885,0,2229,2012-09-04,2018-10-12,165074,0,FR,1,1
4021,1,750,2016-09-22,2018-10-12,160373,0,DE,1,0
32312,0,1215,2015-06-15,2018-10-12,84186,0,RU,1,3
1711,1,929,2016-02-22,2018-09-08,159940,0,DE,0,0
117730,0,930,2016-03-26,2018-10-12,33644,0,EN,0,6
28103,0,999,2016-01-17,2018-10-12,120764,0,DE,1,0
8240,1,1041,2015-11-23,2018-09-29,120111,0,TR,1,80
7455,0,1785,2013-11-21,2018-10-11,4940,0,RU,1,3
13079,1,1257,2015-05-04,2018-10-12,131794,0,DE,1,0
1832,1,1952,2013-06-08,2018-10-12,124882,0,PT,0,13
74714,0,969,2016-02-16,2018-10-12,108615,0,FR,0,1
13866,1,1845,2013-09-21,2018-10-10,109234,0,DE,1,0
2210,1,737,2016-09-30,2018-10-07,44083,0,PT,0,13
4066,1,1924,2013-07-03,2018-10-09,102591,0,ZH,0,6
322785,0,2780,2011-01-31,2018-09-11,17729,0,PT,0,13
3196,1,1333,2015-02-17,2018-10-12,115067,0,DE,0,0
12129,1,1744,2014-01-02,2018-10-12,94751,0,ZH,0,6
1518,0,831,2016-07-02,2018-10-11,149959,0,DE,0,0
1561,0,1903,2013-07-27,2018-10-12,165637,0,PT,0,13
32826,0,689,2016-11-22,2018-10-12,101495,0,FR,1,1
330992,0,553,2017-04-07,2018-10-12,13971,0,KO,0,36
1498,0,603,2017-02-16,2018-10-12,143523,0,ES,0,2
7939,1,560,2017-03-26,2018-10-07,62685,0,FR,1,1
17042,1,2002,2013-04-16,2018-10-09,69267,0,ES,1,2
16487,0,1774,2013-12-03,2018-10-12,74767,0,RU,0,59
4113,0,2013,2013-04-08,2018-10-12,20018,0,FR,1,1
43380,1,393,2017-09-14,2018-10-12,159647,0,FR,1,1
25517,0,1743,2014-01-03,2018-10-12,61278,0,DE,1,0
10154,1,2198,2012-10-05,2018-10-12,114128,0,DE,1,0
1777,0,303,2017-12-13,2018-10-12,157060,0,ES,1,2
474,0,446,2017-07-12,2018-10-01,90909,0,DE,0,0
173411,0,2625,2011-08-03,2018-10-10,128414,0,ES,0,2
352878,1,902,2016-04-23,2018-10-12,116611,0,ZH,0,6
99923,0,2317,2012-06-08,2018-10-12,46961,0,RU,0,3
1966,1,1786,2013-11-21,2018-10-12,141888,0,FR,1,1
1075,1,219,2018-02-28,2018-10-05,37575,0,IT,0,38
11264,0,374,2017-10-03,2018-10-12,30508,0,KO,1,36
4877,0,1594,2014-05-30,2018-10-10,168077,0,ES,1,2
858419,0,1384,2014-12-28,2018-10-12,97850,0,DE,0,0
8739,0,864,2016-05-30,2018-10-11,87577,0,EN,0,108
29508,1,1116,2015-09-22,2018-10-12,124822,0,DE,1,0
408,0,2063,2013-01-21,2018-09-15,140779,0,FR,0,1
482169,1,2325,2012-05-31,2018-10-12,158616,0,ZH,0,6
303252,1,1870,2013-08-29,2018-10-12,119903,0,CS,0,95
1517,1,1357,2015-01-23,2018-10-11,89968,0,DE,1,0
491663,0,2054,2013-02-26,2018-10-12,91938,0,TR,0,80
9131,0,1301,2015-03-21,2018-10-12,159863,0,RU,1,3
766,0,1695,2014-02-18,2018-10-10,109101,0,IT,0,38
23595,1,1290,2015-04-01,2018-10-12,131372,0,DE,1,0
184154,0,2154,2012-11-18,2018-10-12,88789,0,FR,1,1
21182,1,1380,2015-01-01,2018-10-12,87220,0,DE,1,0
3661,1,1300,2015-03-22,2018-10-12,45855,0,DE,1,0
8947,0,1431,2014-11-10,2018-10-11,55931,0,IT,1,38
138131,1,2135,2012-12-07,2018-10-12,89083,0,RU,1,3
2047,1,1764,2013-12-13,2018-10-12,152742,0,DE,0,0
11963,0,1297,2015-03-24,2018-10-11,131693,0,EN,1,53
5782,0,436,2017-08-02,2018-10-12,36224,0,RU,0,3
104914,1,989,2016-01-27,2018-10-12,153154,0,RU,1,3
95063,0,1731,2014-01-15,2018-10-12,106742,0,TR,1,80
21264,0,946,2016-03-10,2018-10-12,134280,0,FR,1,1
9852,1,713,2016-10-26,2018-10-09,26386,0,PT,1,13
98623,1,1634,2014-04-22,2018-10-12,133233,0,RU,0,3
8754,1,588,2017-03-01,2018-10-10,151797,0,FR,1,1
53806,0,1293,2015-03-28,2018-10-11,41628,0,DE,0,0
2400,0,1296,2015-03-26,2018-10-12,9280,0,OTHER,0,3
14339,0,1210,2015-06-20,2018-10-12,55539,0,ZH,0,6
90003,1,494,2017-06-05,2018-10-12,157442,0,PT,1,13
533,0,343,2017-10-31,2018-10-09,138738,0,KO,0,36
37956,0,1262,2015-04-29,2018-10-12,93598,0,ES,1,2
3938,1,965,2016-02-18,2018-10-10,166542,0,ES,1,2
37865,0,1430,2014-11-11,2018-10-11,49058,0,RU,0,3
203118,0,2888,2010-11-15,2018-10-12,45436,0,RU,1,3
844,0,2436,2012-02-07,2018-10-09,63130,0,ES,0,2
194417,1,2251,2012-08-12,2018-10-11,40701,0,DE,1,0
27098,0,2035,2013-03-06,2018-10-01,26337,0,FR,0,1
34720,1,1028,2015-12-19,2018-10-12,109781,0,DE,1,0
2593,0,2734,2011-03-30,2018-09-23,759,0,EN,0,44
139954,1,2326,2012-05-30,2018-10-12,87667,0,ZH,1,6
3142,0,794,2016-08-06,2018-10-09,115078,0,KO,1,36
5123,0,1123,2015-09-04,2018-10-01,26376,0,DE,0,0
1191,0,1974,2013-01-23,2018-06-20,137078,1,DE,0,0
19198,1,683,2016-11-27,2018-10-11,112805,0,DE,1,0
4312,0,1468,2014-10-04,2018-10-11,129096,0,TH,1,86
3563,0,992,2016-01-24,2018-10-12,111262,0,RU,0,3
5969,0,1817,2013-10-20,2018-10-11,107143,0,DE,1,0
4114167,0,1803,2013-11-04,2018-10-12,112472,0,ES,0,2
27514,0,1244,2015-05-17,2018-10-12,49147,0,JA,1,44
13426,0,731,2016-10-11,2018-10-12,14659,0,ES,1,2
45060,1,1265,2015-04-26,2018-10-12,19629,0,ES,0,2
2855,1,811,2016-07-13,2018-10-02,86893,0,FR,0,1
2423,1,826,2016-06-16,2018-09-20,114536,0,DE,1,0
72863,0,2729,2011-04-21,2018-10-10,124352,0,PT,0,13
3464,0,883,2016-05-12,2018-10-12,76692,0,PT,0,13
6303,0,517,2017-05-12,2018-10-11,38171,0,PT,1,13
1388,0,2421,2012-02-24,2018-10-11,95888,0,ES,0,2
11836,1,2141,2012-12-01,2018-10-12,60158,0,DE,0,0
791,0,797,2016-05-14,2018-07-20,117060,0,ZH,0,6
422,0,389,2016-06-30,2017-07-24,28960,1,ZH,0,6
3700,0,1663,2014-03-17,2018-10-05,93545,0,EN,0,53
2419,0,565,2017-03-07,2018-09-23,85518,0,IT,0,38
10697,0,1893,2013-08-06,2018-10-12,126821,0,DE,1,0
7301,0,990,2016-01-26,2018-10-12,119343,0,ES,1,2
4686,1,1639,2014-04-16,2018-10-11,97500,0,FR,0,1
8354,0,1967,2013-05-23,2018-10-11,109991,0,ES,1,2
13295,1,1266,2015-04-25,2018-10-12,27170,0,ES,1,2
43029,0,768,2016-09-04,2018-10-12,8007,0,RU,1,3
523,1,2193,2012-10-04,2018-10-06,155638,0,DE,0,0
637,0,1727,2013-12-15,2018-09-07,111145,0,EN,0,3
44881,1,1570,2014-06-25,2018-10-12,69982,0,ES,1,2
136419,0,2067,2013-02-13,2018-10-12,118566,0,ZH,1,6
130268,1,1170,2015-07-29,2018-10-11,17021,0,ES,0,2
